Дата;Transaction ID;Номер;Описание;Заметки;Commodity/Currency;Причина аннулирования;Действие;Памятка;Full Account Name;Название счёта;Amount With Sym;Amount Num.;Согласование;Reconcile Date;Rate/Price
29.08.2023;5799dfd67d754f119dd874856344815c;00038;Пополнение брокерского счета;;CURRENCY::RUB;;;;Активы:Текущие активы:Брокерские счета:Брокерский счет Райффанзен;Брокерский счет Райффанзен;30 000,00 ₽;30 000,00;n;;1,00
;;;;;;;;;Активы:Текущие активы:Дебетовые карты:Дебетовая карта Райффазен МИР;Дебетовая карта Райффазен МИР;-30 000,00 ₽;-30 000,00;n;;1,00
30.08.2023;0af38dc24be6452ea402a1a9eabf13eb;000045;Покупка ОФЗ 22;;CURRENCY::RUB;;;;Активы:Текущие активы:Брокерские счета:Брокерский счет Райффанзен;Брокерский счет Райффанзен;-29 806,57 ₽;-29 806,57;n;;1,00
;;;;;;;;;Активы:Текущие активы:Брокерские счета:Брокерский счет Райффанзен:Облигации;Облигации;29 806,57 ₽;29 806,57;n;;1,00
01.08.2023;94a8ed0b2adf40678ac524b1cf3ddd6e;00020;Зачисление премии;;CURRENCY::RUB;;;;Активы:Текущие активы:Дебетовые карты:Дебетовая карта Райффазен МИР;Дебетовая карта Райффазен МИР;30 000,00 ₽;30 000,00;n;;1,00
;;;;;;;;;Доходы:Работа:Премия;Премия;-30 000,00 ₽;-30 000,00;n;;1,00
03.08.2023;7268733389334fe3a8a59a68ed3dec76;00024;Беляш;;CURRENCY::RUB;;;;Активы:Текущие активы:Дебетовые карты:Дебетовая карта Райффазен МИР;Дебетовая карта Райффазен МИР;-70,00 ₽;-70,00;n;;1,00
;;;;;;;;;Расходы:Пропитание:Еда в не дома;Еда в не дома;70,00 ₽;70,00;n;;1,00
03.08.2023;11e0a26981da4189b1d77333a8e29547;00025;Обед в столовой;;CURRENCY::RUB;;;;Активы:Текущие активы:Дебетовые карты:Дебетовая карта Райффазен МИР;Дебетовая карта Райффазен МИР;-280,00 ₽;-280,00;n;;1,00
;;;;;;;;;Расходы:Пропитание:Еда в не дома;Еда в не дома;280,00 ₽;280,00;n;;1,00
03.08.2023;42bab5b69d71436ba614e5d8c15bbb04;00026;Электричка с работы;;CURRENCY::RUB;;;;Активы:Текущие активы:Дебетовые карты:Дебетовая карта Райффазен МИР;Дебетовая карта Райффазен МИР;-45,00 ₽;-45,00;n;;1,00
;;;;;;;;;Расходы:Транспорт:Общественный транспорт;Общественный транспорт;45,00 ₽;45,00;n;;1,00
